id,model_probability,model_prediction,external_prediction,model_confidence_from_threshold
000030.jpg,0.7427489876747131,1,0,0.3027489876747131
000119.jpg,0.7094773292541504,1,0,0.2694773292541504
000053.jpg,0.2534401476383209,0,1,0.1865598523616791
000048.jpg,0.6015980124473572,1,0,0.16159801244735722
000057.jpg,0.5974344551563263,1,0,0.15743445515632631
000171.jpg,0.2877261877059937,0,1,0.15227381229400633
000189.jpg,0.28788022994995116,0,1,0.15211977005004884
000159.jpg,0.5889040708541871,1,0,0.14890407085418705
000099.jpg,0.5868189394474029,1,0,0.14681893944740293
000178.jpg,0.3139341056346893,0,1,0.12606589436531068
000094.jpg,0.5655344426631927,1,0,0.12553444266319275
000061.jpg,0.5579833447933197,1,0,0.11798334479331968
000079.jpg,0.5493960380554199,1,0,0.10939603805541992
000168.jpg,0.5365288615226745,1,0,0.09652886152267454
000011.jpg,0.35263859629631045,0,1,0.08736140370368956
000107.jpg,0.5234254837036133,1,0,0.0834254837036133
000165.jpg,0.5218519747257233,1,0,0.08185197472572331
000012.jpg,0.5202460587024689,1,0,0.08024605870246887
000126.jpg,0.5197503387928009,1,0,0.07975033879280086
000145.jpg,0.4969781458377838,1,0,0.05697814583778382
000039.jpg,0.3836574167013168,0,1,0.05634258329868319
000006.jpg,0.39614995419979093,0,1,0.04385004580020907
000018.jpg,0.4828484833240509,1,0,0.04284848332405089
000141.jpg,0.4825298607349396,1,0,0.042529860734939584
000121.jpg,0.47773547768592833,1,0,0.03773547768592833
000059.jpg,0.47209678292274476,1,0,0.03209678292274476
000086.jpg,0.4678896129131317,1,0,0.02788961291313169
000139.jpg,0.4200751781463623,0,1,0.019924821853637698
000072.jpg,0.45819068849086764,1,0,0.018190688490867635
000127.jpg,0.42520771920681,0,1,0.014792280793190005
000038.jpg,0.45292421579360964,1,0,0.012924215793609639
000155.jpg,0.4523080110549927,1,0,0.012308011054992685
000187.jpg,0.4472965598106384,1,0,0.0072965598106384255
000174.jpg,0.4440495312213898,1,0,0.0040495312213897905
